Ejecucion,Tama¤o,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
1,10,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0,0
5,10,0,0,0,0,0,0,0,0
6,10,0,0,0,0,0,0,0,0
7,10,0,0,0,0,0,0,0,0
8,10,0,0,0,0,0,0,0,0
9,10,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,1783,0
3,20,0,0,0,0,0,0,0,0
4,20,0,0,0,0,0,0,0,0
5,20,0,0,0,0,0,0,0,0
6,20,0,0,0,0,0,0,0,0
7,20,0,0,0,0,0,0,0,0
8,20,0,0,0,0,0,0,0,0
9,20,0,0,0,0,0,0,0,0
10,20,0,0,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0
2,30,0,0,0,0,0,0,0,0
3,30,0,0,0,0,0,0,0,0
4,30,0,0,0,0,0,0,0,0
5,30,0,0,0,0,0,0,0,0
6,30,0,0,0,0,0,0,0,0
7,30,0,0,0,0,0,0,0,0
8,30,0,0,0,0,0,0,0,0
9,30,0,0,0,0,0,0,0,0
10,30,0,0,0,0,0,0,0,0
1,40,0,0,0,0,0,0,0,0
2,40,0,0,0,0,0,0,0,0
3,40,0,0,0,0,0,0,0,0
4,40,0,0,0,0,0,0,0,0
5,40,0,0,0,0,0,0,0,0
6,40,0,0,0,0,0,0,0,0
7,40,0,0,0,0,0,0,0,0
8,40,0,0,0,0,0,0,0,0
9,40,0,0,0,0,0,0,0,0
10,40,0,0,0,0,0,0,0,0
1,50,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,0
7,50,0,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,0
9,50,0,0,0,0,0,0,0,0
10,50,0,0,0,0,0,0,0,0
1,60,0,0,0,0,0,0,0,0
2,60,0,0,0,0,0,0,0,0
3,60,0,0,0,0,0,0,0,0
4,60,0,0,0,0,0,1241,0,0
5,60,0,0,0,0,0,0,0,0
6,60,0,0,0,0,0,0,0,0
7,60,0,0,0,0,0,0,0,0
8,60,0,0,0,0,0,0,0,0
9,60,0,0,0,0,0,0,0,0
10,60,0,0,0,0,0,0,0,0
1,70,0,0,0,0,0,0,0,0
2,70,0,0,0,0,0,0,0,0
3,70,0,0,0,0,0,0,0,0
4,70,0,0,0,0,0,0,0,0
5,70,0,0,0,0,0,0,0,0
6,70,0,0,0,0,0,0,0,0
7,70,0,0,0,0,5797,0,0,0
8,70,0,0,0,0,0,0,0,0
9,70,0,0,0,0,0,0,0,0
10,70,0,0,0,0,0,0,0,0
1,80,0,0,0,0,0,0,0,0
2,80,0,0,0,0,0,0,0,0
3,80,0,0,0,0,0,0,0,0
4,80,0,0,0,0,0,0,0,0
5,80,0,0,0,0,0,0,0,0
6,80,0,0,0,0,0,0,0,0
7,80,0,0,0,0,0,0,0,0
8,80,0,0,0,0,0,0,0,0
9,80,0,6526,0,0,0,0,0,0
10,80,0,0,0,0,0,0,0,0
1,90,0,0,0,0,0,0,0,0
2,90,0,0,0,0,0,0,0,0
3,90,0,0,0,0,0,0,0,0
4,90,0,0,0,1253,0,0,0,0
5,90,0,0,0,0,0,0,0,0
6,90,0,0,0,0,0,0,0,0
7,90,0,0,0,0,0,0,0,0
8,90,0,0,0,0,0,0,0,0
9,90,0,0,0,0,0,0,0,0
10,90,0,0,0,0,0,0,0,0
1,100,0,0,0,0,4515,0,0,0
2,100,0,0,0,0,0,0,0,0
3,100,0,0,0,0,0,0,0,0
4,100,0,0,0,0,0,0,0,0
5,100,0,0,0,0,0,0,0,0
6,100,0,0,0,0,0,0,0,0
7,100,0,0,0,0,0,0,0,0
8,100,0,0,0,0,0,0,0,0
9,100,0,0,0,0,3112,0,0,0
10,100,0,0,0,0,0,0,0,0
1,110,0,0,0,0,0,0,0,0
2,110,0,0,0,0,0,0,0,0
3,110,0,0,0,0,0,0,0,0
4,110,0,0,0,0,0,0,0,0
5,110,0,0,0,0,2008,0,0,0
6,110,0,0,0,0,0,0,0,0
7,110,0,0,0,0,0,0,0,0
8,110,0,0,0,0,0,0,0,0
9,110,0,0,0,0,0,0,0,0
10,110,0,0,0,0,0,0,0,0
1,120,0,0,0,0,0,0,0,0
2,120,0,0,0,0,0,0,0,0
3,120,0,0,7427,0,0,0,0,0
4,120,0,0,0,0,0,0,0,0
5,120,0,0,0,0,0,0,0,0
6,120,0,0,0,0,0,0,0,0
7,120,0,0,0,0,0,0,0,0
8,120,0,0,0,0,0,0,0,0
9,120,0,0,0,0,0,0,0,0
10,120,0,0,0,0,0,0,0,0
1,130,0,0,0,0,0,0,0,0
2,130,0,0,4526,0,0,0,0,0
3,130,0,0,1516,0,0,0,0,0
4,130,0,0,0,0,0,0,0,0
5,130,0,0,0,0,0,0,0,0
6,130,0,0,0,0,0,0,0,0
7,130,0,0,0,0,0,0,0,0
8,130,0,0,0,0,0,0,0,0
9,130,0,0,0,0,0,0,0,0
10,130,0,6371,0,0,0,0,0,0
1,140,0,0,0,0,0,0,2369,0
2,140,0,0,0,0,0,0,0,0
3,140,0,0,0,0,0,0,0,0
4,140,2008,0,0,0,0,0,0,0
5,140,0,0,0,0,0,0,0,0
6,140,0,0,2005,0,0,0,0,0
7,140,0,0,1761,0,0,0,0,0
8,140,0,0,0,0,0,0,0,0
9,140,0,0,2171,0,0,0,0,0
10,140,0,0,0,0,0,0,0,0
1,150,0,0,0,0,0,0,0,0
2,150,0,0,0,4588,0,0,0,0
3,150,0,0,0,0,0,0,0,0
4,150,0,0,0,0,0,0,0,0
5,150,0,0,0,0,0,0,2009,0
6,150,0,0,0,0,0,0,0,0
7,150,0,0,0,0,0,0,0,0
8,150,2005,0,0,0,0,0,0,0
9,150,0,0,0,0,0,0,0,0
10,150,0,2004,0,0,0,0,1010,0
1,160,0,0,0,0,0,0,0,0
2,160,0,0,0,0,0,0,0,0
3,160,0,0,0,0,0,0,4950,0
4,160,0,0,0,0,0,0,0,0
5,160,0,0,0,0,0,0,0,0
6,160,0,0,0,0,0,0,0,0
7,160,0,0,0,0,0,0,0,0
8,160,0,0,4949,0,0,0,0,0
9,160,0,0,0,0,0,0,0,0
10,160,0,0,0,0,0,0,0,0
1,170,0,2926,0,0,0,0,0,0
2,170,0,0,0,2145,0,0,0,0
3,170,0,0,0,0,0,0,1910,0
4,170,0,0,0,0,0,0,0,0
5,170,0,0,2013,0,0,0,0,0
6,170,0,0,0,0,0,0,0,0
7,170,0,0,0,0,0,0,0,0
8,170,0,0,0,2013,0,0,0,0
9,170,0,0,0,0,2015,0,0,0
10,170,0,0,0,0,0,0,0,0
1,180,0,2871,0,0,0,0,0,0
2,180,0,0,0,2007,0,0,0,0
3,180,0,0,2011,0,0,0,0,0
4,180,0,0,0,0,0,0,0,0
5,180,0,0,3090,0,0,0,0,0
6,180,0,0,0,0,0,0,0,0
7,180,0,0,0,0,0,0,0,0
8,180,0,0,0,0,0,0,0,0
9,180,0,0,0,0,0,5938,0,0
10,180,0,0,0,0,0,0,0,0
1,190,0,2988,0,0,0,0,0,0
2,190,0,0,1778,0,0,0,0,0
3,190,0,0,0,0,0,0,0,0
4,190,0,0,0,0,4431,0,0,0
5,190,0,0,0,0,0,0,0,0
6,190,0,0,0,2836,0,0,0,0
7,190,0,0,0,0,0,0,0,0
8,190,0,0,0,0,0,0,0,0
9,190,0,0,0,0,0,0,0,0
10,190,0,0,0,0,0,0,0,0
1,200,0,0,0,0,0,0,0,0
2,200,0,3596,0,0,0,0,0,0
3,200,0,2015,0,0,0,0,0,0
4,200,0,0,0,0,0,0,0,0
5,200,0,0,0,0,0,0,0,0
6,200,0,0,0,0,0,0,0,0
7,200,0,0,0,0,0,0,0,0
8,200,0,0,0,0,0,0,0,0
9,200,0,0,10301,0,0,0,0,0
10,200,0,0,0,0,0,0,0,0
1,210,0,0,1181,0,0,0,1323,0
2,210,0,0,0,0,0,0,0,0
3,210,0,2436,0,0,0,0,0,0
4,210,0,0,0,0,0,0,0,0
5,210,0,0,0,0,0,0,0,0
6,210,0,5964,0,0,0,0,0,0
7,210,0,0,1010,0,507,0,0,0
8,210,505,0,504,504,0,0,0,0
9,210,0,508,508,0,0,0,0,0
10,210,0,0,2011,0,0,0,0,0
1,220,0,2505,0,0,0,1046,0,0
2,220,0,0,0,0,0,0,0,0
3,220,0,0,0,0,0,0,0,0
4,220,0,0,0,5998,0,0,0,0
5,220,0,0,0,0,0,0,0,0
6,220,0,0,0,0,0,0,0,0
